MMS ID,Title,Representation ID,TIFF Filename,S3 Path,File Size (MB),Recommended Action,Status
991011546791604641,"""In the harbor, Dubuque, Iowa""",12317873170004641,grinnell_16037_OBJ.tiff,01GCL_INST/storage/alma/FE/31/A6/23/13/E5/B0/13/B3/7E/7E/1A/20/A8/F3/9C/grinnell_16037_OBJ.tiff,36.29,Create JPG derivative and set as primary,Manual JPG creation needed
991011546791804641,"""Karigan's Restaurant, Fourth and Central, Dubuque, Iowa""",12317873230004641,grinnell_16035_OBJ.tiff,01GCL_INST/storage/alma/86/DF/BD/F6/B3/4A/BA/B1/91/FA/82/7E/F5/68/6C/BC/grinnell_16035_OBJ.tiff,39.44,Create JPG derivative and set as primary,Manual JPG creation needed
991011546793604641,"""Public school, Earlville, Iowa""",12317873250004641,grinnell_16015_OBJ.tiff,01GCL_INST/storage/alma/26/2E/24/09/15/91/C2/3E/2E/7A/B6/9E/6A/DE/04/AC/grinnell_16015_OBJ.tiff,38.1,Create JPG derivative and set as primary,Manual JPG creation needed
991011546791904641,"""Britt Coliseum, Britt, Iowa""",12317873290004641,grinnell_16034_OBJ.tiff,01GCL_INST/storage/alma/20/E7/6F/D3/4D/65/62/1B/7A/24/F1/78/91/25/61/AA/grinnell_16034_OBJ.tiff,6.84,Create JPG derivative and set as primary,Manual JPG creation needed
991011546794104641,"""Boat house, Eldora, Iowa""",12317873350004641,grinnell_16010_OBJ.tiff,01GCL_INST/storage/alma/6F/7B/1C/76/84/3E/E9/E6/19/F4/92/96/63/38/D5/62/grinnell_16010_OBJ.tiff,38.57,Create JPG derivative and set as primary,Manual JPG creation needed
991011546794304641,"""Power house and dam, Eldora, Iowa""",12317873370004641,grinnell_16008_OBJ.tiff,01GCL_INST/storage/alma/E0/D6/AC/02/9C/CA/EF/55/8D/AA/DC/D1/0E/17/8A/E2/grinnell_16008_OBJ.tiff,37.9,Create JPG derivative and set as primary,Manual JPG creation needed
991011546792304641,"""View of Mississippi River, Dubuque, Iowa""",12317873410004641,grinnell_16030_OBJ.tiff,01GCL_INST/storage/alma/35/33/64/CD/D4/AB/0B/59/ED/49/D3/6B/EC/6F/66/23/grinnell_16030_OBJ.tiff,38.69,Create JPG derivative and set as primary,Manual JPG creation needed
991011546792504641,"""Part of Dunkerton, Iowa""",12317873430004641,grinnell_16028_OBJ.tiff,01GCL_INST/storage/alma/A3/2C/26/C3/7B/47/64/36/59/3F/68/37/E7/35/67/B8/grinnell_16028_OBJ.tiff,36.59,Create JPG derivative and set as primary,Manual JPG creation needed
991011546792904641,"""St. Francis Boys' School, Dyersville, Iowa""",12317873610004641,grinnell_16024_OBJ.tiff,01GCL_INST/storage/alma/A4/C7/BA/D3/EF/37/42/E3/86/F3/0C/E1/9E/7F/21/F3/grinnell_16024_OBJ.tiff,36.57,Create JPG derivative and set as primary,Manual JPG creation needed
991011546806804641,"""Iowa State Industrial School, Eldora, Iowa""",12317875470004641,grinnell_15678_OBJ.tiff,01GCL_INST/storage/alma/D4/B7/8B/79/B2/FD/70/0A/79/F1/80/79/D8/36/A1/DB/grinnell_15678_OBJ.tiff,37.82,Create JPG derivative and set as primary,Manual JPG creation needed
991011546797804641,"""Fire, October 10, 1908, Edgewood, Iowa""",12317885790004641,grinnell_15872_OBJ.tiff,01GCL_INST/storage/alma/00/6A/35/12/02/1D/0E/DB/68/43/07/CB/AB/5C/A8/A2/grinnell_15872_OBJ.tiff,36.92,Create JPG derivative and set as primary,Manual JPG creation needed
991011546911104641,"""Union Electric Company's Station and loop at Union Park, Dubuque, Iowa""",12317892460004641,grinnell_15560_OBJ.tiff,01GCL_INST/storage/alma/1B/CD/C4/B4/1B/F9/82/65/B3/BF/1D/3C/98/C5/A0/D4/grinnell_15560_OBJ.tiff,38.01,Create JPG derivative and set as primary,Manual JPG creation needed
991011546883304641,"""Warnecke's De Witt Cafe, De Witt, Iowa""",12317900110004641,grinnell_16071_OBJ.tiff,01GCL_INST/storage/alma/E0/51/2A/5A/FB/DA/60/0A/C0/33/E1/33/C1/03/B6/41/grinnell_16071_OBJ.tiff,37.58,Create JPG derivative and set as primary,Manual JPG creation needed
991011546793104641,"""Dysart Canning Factory, Dysart, Iowa""",12317913110004641,grinnell_16021_OBJ.tiff,01GCL_INST/storage/alma/80/6A/99/AA/08/32/9E/EE/51/B2/C9/33/82/AE/B9/8E/grinnell_16021_OBJ.tiff,38.63,Create JPG derivative and set as primary,Manual JPG creation needed
991011546793204641,"""Greetings from Eagle Grove, Iowa [002]""",12317913130004641,grinnell_16020_OBJ.tiff,01GCL_INST/storage/alma/C1/00/21/0D/19/32/1C/7F/D2/FB/00/15/7A/D8/86/DB/grinnell_16020_OBJ.tiff,121.84,Create JPG derivative and set as primary,Manual JPG creation needed
991011546830604641,"""Greetings from Earlville, Iowa""",12317914310004641,grinnell_16922_OBJ.tiff,01GCL_INST/storage/alma/7F/41/61/10/BC/6F/FE/4B/30/3F/5F/A3/81/D3/B1/E1/grinnell_16922_OBJ.tiff,49.35,Create JPG derivative and set as primary,Manual JPG creation needed
991011546830804641,"""Multiview of Elberon, Iowa #1""",12317914330004641,grinnell_16920_OBJ.tiff,01GCL_INST/storage/alma/2E/BC/F0/31/22/B1/78/EF/EF/C8/45/1B/CC/82/87/04/grinnell_16920_OBJ.tiff,36.21,Create JPG derivative and set as primary,Manual JPG creation needed
991011546841304641,"""Street scene, Elkader, Iowa""",12317916720004641,grinnell_16791_OBJ.tiff,01GCL_INST/storage/alma/AD/B4/45/2C/A1/31/BE/F3/02/38/76/68/51/20/A9/96/grinnell_16791_OBJ.tiff,36.89,Create JPG derivative and set as primary,Manual JPG creation needed
991011546841504641,"""Main Street, Elkader, Iowa [001]""",12317916780004641,grinnell_16790_OBJ.tiff,01GCL_INST/storage/alma/4A/4B/25/E0/D0/A4/1B/B1/DF/04/6D/68/E8/59/1E/E8/grinnell_16790_OBJ.tiff,36.91,Create JPG derivative and set as primary,Manual JPG creation needed
991011546841704641,"""Elkhorn College, Elkhorn, Iowa""",12317916800004641,grinnell_16789_OBJ.tiff,01GCL_INST/storage/alma/CD/E0/21/AF/9F/6E/32/89/38/27/58/C2/3D/16/5A/54/grinnell_16789_OBJ.tiff,38.86,Create JPG derivative and set as primary,Manual JPG creation needed
991011546841904641,"""Chicago, Burlington and Quincy Depot, Elliott, Iowa""",12317916920004641,grinnell_16787_OBJ.tiff,01GCL_INST/storage/alma/AF/45/AD/DC/F5/9C/53/F3/B6/F7/D6/70/90/5E/8E/5F/grinnell_16787_OBJ.tiff,7.1,Create JPG derivative and set as primary,Manual JPG creation needed
991011546842004641,"""Main Street, Elma, Iowa""",12317916940004641,grinnell_16786_OBJ.tiff,01GCL_INST/storage/alma/25/0F/23/F8/81/A3/74/97/4F/82/E9/57/13/41/A1/D8/grinnell_16786_OBJ.tiff,37.87,Create JPG derivative and set as primary,Manual JPG creation needed
991011546840104641,"""Chicago, Rock Island and Pacific train wreck, October 24, 1912, Eldon, Iowa""",12317917180004641,grinnell_16799_OBJ.tiff,01GCL_INST/storage/alma/1C/DB/84/FA/67/C8/18/F0/0D/F5/54/DD/15/FA/2E/C1/grinnell_16799_OBJ.tiff,36.18,Create JPG derivative and set as primary,Manual JPG creation needed
991011546839204641,"""Main Street, Earlville, Iowa""",12317917240004641,grinnell_16806_OBJ.tiff,01GCL_INST/storage/alma/40/05/B1/8E/F3/92/8E/5C/38/C4/22/D1/B0/71/AC/77/grinnell_16806_OBJ.tiff,36.88,Create JPG derivative and set as primary,Manual JPG creation needed
991011546840804641,"""Pierce's Green House, Eldora, Iowa""",12317917260004641,grinnell_16796_OBJ.tiff,01GCL_INST/storage/alma/9E/B0/B1/F4/A0/7F/34/BF/82/B7/95/97/66/3A/63/10/grinnell_16796_OBJ.tiff,38.3,Create JPG derivative and set as primary,Manual JPG creation needed
991011546839304641,"""Cityscape of Early, Iowa""",12317917340004641,grinnell_16805_OBJ.tiff,01GCL_INST/storage/alma/30/FF/23/91/72/FD/CB/F3/19/CB/4D/5A/8E/BB/B0/D0/grinnell_16805_OBJ.tiff,38.03,Create JPG derivative and set as primary,Manual JPG creation needed
991011546839504641,"""Main Street, Edgewood, Iowa""",12317917360004641,grinnell_16803_OBJ.tiff,01GCL_INST/storage/alma/DA/B9/26/F9/1E/C8/5F/61/EF/61/C6/8D/FE/60/93/E9/grinnell_16803_OBJ.tiff,36.44,Create JPG derivative and set as primary,Manual JPG creation needed
991011546839704641,"""Depot, Edgewood, Iowa""",12317917380004641,grinnell_16802_OBJ.tiff,01GCL_INST/storage/alma/04/29/DB/A6/75/76/83/39/4A/BD/D4/21/FA/32/39/44/grinnell_16802_OBJ.tiff,36.59,Create JPG derivative and set as primary,Manual JPG creation needed
991011546839904641,"""Multiview of Elberon, Iowa #2""",12317917400004641,grinnell_16800_OBJ.tiff,01GCL_INST/storage/alma/8D/CE/31/12/DF/32/0B/46/29/4D/97/FD/5E/70/07/BF/grinnell_16800_OBJ.tiff,9.04,Create JPG derivative and set as primary,Manual JPG creation needed
991011546754304641,"""Chautauqua grounds, Creston, Iowa""",12317927140004641,grinnell_18448_OBJ.tiff,01GCL_INST/storage/alma/85/9D/4E/89/9E/CD/ED/7A/11/C9/1E/21/E7/60/D2/E4/grinnell_18448_OBJ.tiff,18.52,Create JPG derivative and set as primary,Manual JPG creation needed
991011546754204641,"""Catholic church, Creston, Iowa""",12317927160004641,grinnell_18449_OBJ.tiff,01GCL_INST/storage/alma/B4/D6/29/CA/66/2F/D5/30/7F/B5/34/87/A0/27/3B/CB/grinnell_18449_OBJ.tiff,2.09,Create JPG derivative and set as primary,Manual JPG creation needed
991011546754504641,"""St. Paul's Church, Council Bluffs, Iowa""",12317927180004641,grinnell_18382_OBJ.tiff,01GCL_INST/storage/alma/83/CE/0B/AA/6A/2D/A3/B2/CA/E2/62/D1/87/A3/0D/93/grinnell_18382_OBJ.tiff,12.71,Create JPG derivative and set as primary,Manual JPG creation needed
991011546754804641,"""View from Rainbow Drive, Council Bluffs, Iowa""",12317927200004641,grinnell_18379_OBJ.tiff,01GCL_INST/storage/alma/92/9A/1F/45/D8/5C/1B/59/9C/73/50/16/6B/5C/73/7C/grinnell_18379_OBJ.tiff,20.14,Create JPG derivative and set as primary,Manual JPG creation needed
991011546755004641,"""Jennie Edmundson Memorial Hospital and Nurses Home, Council Bluffs, Iowa""",12317927240004641,grinnell_18377_OBJ.tiff,01GCL_INST/storage/alma/E8/CC/F2/A1/9F/01/CD/06/EF/31/6B/A2/F7/CE/A1/8B/grinnell_18377_OBJ.tiff,20.61,Create JPG derivative and set as primary,Manual JPG creation needed
991011546755204641,"""Central Avenue, Correctionville, Iowa""",12317927260004641,grinnell_18329_OBJ.tiff,01GCL_INST/storage/alma/6A/A5/7A/5C/35/C4/4D/71/18/03/F2/22/5A/F1/57/33/grinnell_18329_OBJ.tiff,9.97,Create JPG derivative and set as primary,Manual JPG creation needed
991011546755304641,"""Band playing in front of Birdsell Wagons, Correctionville, Iowa""",12317927280004641,grinnell_18328_OBJ.tiff,01GCL_INST/storage/alma/31/ED/FF/E4/63/3F/84/52/52/CE/8D/37/8A/EF/56/3B/grinnell_18328_OBJ.tiff,13.0,Create JPG derivative and set as primary,Manual JPG creation needed
991011546755404641,"""Front Street looking east, Brooklyn, Iowa [002]""",12317927300004641,grinnell_18272_OBJ.tiff,01GCL_INST/storage/alma/9F/13/8C/12/9A/6F/2C/D4/59/44/4C/63/8A/93/87/7A/grinnell_18272_OBJ.tiff,37.06,Create JPG derivative and set as primary,Manual JPG creation needed
